Code_Soc;INS_Com;Code_Site;Bat;X;Y;Num_int
9060;92006;3397A;GENDARMERIE 4a-4e;196370.354;117986.856;1158154
9060;92006;3397A;GENDARMERIE 4f-4i;196370.354;117986.856;1159028
9060;92006;3397A;MARCHE 97;196798.549;117611.004;28556238
9060;92006;5009A;PAVEE 1;194026.263;120407.852;29975009
9060;92094;0503A;ANTOINE 10;186841.673;128411.115;1599686
9060;92094;0503A;ANTOINE 12;186841.342;128420.054;1599963
9060;92094;0503A;ELOY 1;186939.583;128362.152;1602218
9060;92094;0503A;ELOY 2;186998.835;128362.456;1603864
9060;92094;0503A;KARLER 1;187021.203;128364.305;1564598
9060;92094;0503A;KARLER 2;187049.584;128366.585;1600572
9060;92094;0503A;LAMQUET 272-280;187083.448;128331.357;1565912
9060;92094;0503A;LIEGE 397-401;187202.068;128311.030;1573466
9060;92094;0503A;MICHIELS 11;187097.122;128417.072;1564267
9060;92094;0503A;STEVENNE 1;186888.256;128368.824;1605510
9060;92094;0503A;STEVENNE 11;186889.295;128426.444;1599409
9060;92094;0503A;STEVENNE 2;186916.440;128365.348;1607156
9060;92094;0503A;STEVENNE 9;186889.264;128417.447;1563990
9060;92094;0506A;COMOGNES 100;185751.223;126390.854;1278503
9060;92094;0506A;COMOGNES 111-129;185798.974;126365.750;1279578
9060;92094;0506A;COMOGNES 141-161;185770.251;126227.265;1413589
9060;92094;0506A;COMOGNES 173;185742.217;126098.991;1279095
9060;92094;0506A;COMOGNES 175;185741.849;126089.599;1398763
9060;92094;0506A;COMOGNES 177;185741.497;126080.404;1398993
9060;92094;0506A;COMOGNES 179;185741.119;126071.239;1399223
9060;92094;0506A;COMOGNES 181;185745.868;126053.824;1399456
9060;92094;0506A;COMOGNES 183;185745.542;126044.424;1399689
9060;92094;0506A;COMOGNES 187;185744.865;126025.858;1399919
9060;92094;0506A;COMOGNES 189;185738.860;126008.735;1400152
9060;92094;0506A;COMOGNES 190;185701.079;126036.789;1400385
